Features,Architecture,R2_train,R2_test,RMSE_test
"('風速', '氣壓', 'wind_dir_sin', 'wind_dir_cos', 'wave_dir_sin', 'wave_dir_cos', '暴風半徑_YJ', '功率_log1p')","(20, 20)",0.8776459975490788,0.7162697802801028,7612.402094881446
"('風速', '氣壓', 'wind_dir_sin', 'wind_dir_cos', 'wave_dir_sin', 'wave_dir_cos', '暴風半徑_YJ', '波能_log1p')","(20, 20)",0.8560474655840288,0.73223203721996,7395.171160043944
"('風速', '氣壓', 'wind_dir_sin', 'wind_dir_cos', 'wave_dir_sin', 'wave_dir_cos', '波高_YJ', '暴風半徑_YJ')","(20, 20)",0.8551072834863201,0.6252792499996712,8748.282406856244
"('風速', '氣壓', 'wind_dir_sin', 'wind_dir_cos', 'wave_dir_sin', 'wave_dir_cos', '暴風半徑_YJ', '尖峰週期_BC')","(20, 20)",0.8534560623595664,0.7834810986231439,6649.926272383413
"('風速', '氣壓', 'wind_dir_sin', 'wind_dir_cos', '降雨_YJ', '暴風半徑_YJ', '潮位_BC2', '尖峰週期_BC')","(20, 20)",0.8301359836662997,0.625929631338437,8740.68716346687
"('風速', '氣壓', 'wind_dir_sin', 'wind_dir_cos', 'wave_dir_sin', 'wave_dir_cos', '暴風半徑_YJ', '潮位_BC2')","(20, 20)",0.8129229829282303,0.6089730855365987,8936.598538167984
"('氣壓', 'wave_dir_sin', 'wave_dir_cos', '波高_YJ', '暴風半徑_YJ')","(20, 20)",0.8114899455768574,0.558903700172403,9491.517007111923
"('氣壓', 'wave_dir_sin', 'wave_dir_cos', '暴風半徑_YJ', '波能_log1p', '功率_log1p')","(20, 20)",0.8040474873040401,0.608017613677618,8947.510138392456
"('風速', '氣壓', 'wind_dir_sin', 'wind_dir_cos', 'wave_dir_sin', 'wave_dir_cos', '波高_YJ', '潮位_BC2')","(20, 20)",0.8018498228822704,0.5584010724640163,9496.923242858116
"('風速', '氣壓', 'wind_dir_sin', 'wind_dir_cos', 'wave_dir_sin', 'wave_dir_cos', '波高_YJ', '降雨_YJ', '暴風半徑_YJ', '波能_log1p', '功率_log1p')","(20, 20)",0.7823001321330667,0.5159339328727992,9943.087077767754
